



 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA;
10646036;"Actuación de las Alumnas del Taller Danza Española del  Centro Cultural San Juan Bautista";"";"1";"0";"";"";"2018-06-12 00:00:00.0";"2018-06-12 23:59:00.0";"11:30";"Bajo la dirección de su profesora 'Carmina', las alumnas del Taller Danza Española del  Centro, Tnos ofreceran toda una demostración de arte y poderío con un repertorio de Rumbas, Pasodobles, Sevillanas Rocieras y Sevillanas convencionales, El Vito y Coplas.   Duración : 60 minutos aproxi.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0a5c09eb5c5f1610VgnVCM1000001d4a900aRCRD";"Actividades Centro Cultural San Juan Bautista. Junio 2018.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2f518221a51e1610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural San Juan Bautista (Ciudad Lineal)";"444202";"4478162";"40.45224737965276";"-3.6580402287911937";"CIUDAD LINEAL";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
10691300;"Acuarelas y dibujos a tinta";"";"1";"1";"L,M,X,J,V,S,D";"";"2018-05-16 00:00:00.0";"2018-05-31 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c1000ae8477f2610VgnVCM1000001d4a900aRCRD";"Acuarelas y dibujos a tinta";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12df0ae8477f2610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=068e598d1351c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Buenavista (Salamanca)";"443092";"4475923";"40.43200210571468";"-3.6709293330780204";"SALAMANCA";"/contenido/actividades/Exposiciones";"";
10693075;"ADISHATZ / ADIEU. Jonathan Capdevielle - Association Poppydog";"";"0";"1";"L,M,X,J,V,S,D";"";"2018-06-01 00:00:00.0";"2018-06-02 23:59:00.0";"20:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e5bd62af42103610VgnVCM2000001f4a900aRCRD";"ADISHATZ / ADIEU. Jonathan Capdevielle - Association Poppydog";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c46b62af42103610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4582ee06ea5ee310VgnVCM2000000c205a0aRCRD";"Naves Matadero. Centro Internacional Artes Vivas";"440825";"4471546";"40.39241374953321";"-3.697247685884226";"ARGANZUELA";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
10715711;"Afrontando el acoso escolar";"";"0";"0";"";"";"2018-06-06 00:00:00.0";"2018-06-06 23:59:00.0";"17:00";"Ponente: D. Antonio Corredor. Profesor de ESO y Bachillerato y entrenador personal.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2542888d85293610VgnVCM2000001f4a900aRCRD";"Conferencias en el Centro Cultural Hortaleza";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=11a2acd787eb1610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Hortaleza";"445689";"4481092";"40.476859845869534";"-3.6420353342333227";"HORTALEZA";"/contenido/actividades/CursosTalleres";"";
10670594;"Ahora";"";"1";"1";"L,M,X,J,V,S,D";"";"2018-05-03 00:00:00.0";"2018-06-04 23:59:00.0";"00:00";"Exposición de pintura de Paloma Martín Toral.   Entrada libre.  Pintora figurativa nacida en Madrid. En sus cuadros predomina la temática de la naturaleza (flores, marinas, bosques, animales), los edificios y parques de Madrid y la figura humana. Las técnicas utilizadas son fundamentalmente acuarela y acrílico, utilizando también en otras ocasiones óleo, pastel y tinta china";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a24867c77d662610VgnVCM1000001d4a900aRCRD";"Actividades en el Centro Sociocultural Francisco Fatou";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f954d02ee8120610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Francisco Fatou (Villa de Vallecas)";"447107";"4470075";"40.379584618162156";"-3.623110349262379";"VILLA DE VALLECAS";"/contenido/actividades/Exposiciones";"";
10707332;"Ajedrez: Defensa siciliana";"";"1";"0";"";"";"2018-05-31 00:00:00.0";"2018-05-31 23:59:00.0";"19:15";"Os invitamos a una nueva edición del Taller de aperturas de Ajedrez. Esta vez estudiaremos a fondo la Defensa siciliana. En colaboración con el Club de Ajedrez de la Asociación de Vecinos de Aluche.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c01595cd85e53610VgnVCM1000001d4a900aRCRD";"Ajedrez: Defensa siciliana";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=05d495cd85e53610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Ángel González (Latina)";"434954";"4472113";"40.397074625115906";"-3.7664885474841556";"LATINA";"/contenido/actividades/CursosTalleres";"";
10709373;"Aladas entre puentes";"";"1";"0";"";"";"2018-06-03 00:00:00.0";"2018-06-03 23:59:00.0";"20:30";"?Aladas entre puentes?, a cargo de La Fabrica de Sueños. Espectáculo de Poesía visual, personalizado para el barrio de Aluche.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=18a02fb99dd63610VgnVCM1000001d4a900aRCRD";"Fiestas de Aluche 2018";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=162a565791d63610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0023cbf06c81c010VgnVCM1000000b205a0aRCRD";"Auditorio al aire libre. Parque Aluche";"435664";"4471826";"40.392680212409495";"-3.7593572957930554";"LATINA";"/contenido/actividades/Fiestas";"/usuario/Jovenes,/usuario/Mujeres,/usuario/Niños,/usuario/Mayores";
10670877;"Alumnos de arte del Centro Cultural Sanchinarro";"";"1";"1";"L,M,X,J,V,S,D";"";"2018-06-01 00:00:00.0";"2018-06-30 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=279896c524762610VgnVCM2000001f4a900aRCRD";"Exposiciones en el Centro Cultural Sanchinarro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=36f71f890e662610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12eb70618510f210VgnVCM1000000b205a0aRCRD";"Centro Cultural Sanchinarro (Hortaleza)";"444579";"4482598";"40.49035310157377";"-3.655261744717257";"HORTALEZA";"/contenido/actividades/Exposiciones";"";
10695745;"Alumnos de la Casa del Reloj y Ciudad Pegaso";"";"1";"1";"L,M,X,J,V,S,D";"";"2018-05-03 00:00:00.0";"2018-05-30 23:59:00.0";"00:00";"Exposición de los alumnos de la clase de Amanda García.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f2558e354c513610VgnVCM1000001d4a900aRCRD";"Exposiciones en el Centro Cultural Casa del Reloj";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=62618e354c513610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Casa del Reloj (Arganzuela)";"440586";"4471782";"40.394522745106734";"-3.7000855961559855";"ARGANZUELA";"/contenido/actividades/Exposiciones";"";
10702538;"Amores Chéjov";"";"1";"1";"L,M,X,J,V,S,D";"";"2018-06-13 00:00:00.0";"2018-06-16 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1762273a91a33610VgnVCM2000001f4a900aRCRD";"Amores Chéjov";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1c02273a91a33610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Conde Duque";"439869";"4475716";"40.42802889001877";"-3.710182353581842";"CENTRO";"/contenido/actividades/CircoPerformanceTeatro";"";
